,precision,recall,f1-score,support
affirm,1.0,1.0,1.0,10.0
ask_colour,1.0,1.0,1.0,11.0
ask_general,0.9166666666666666,1.0,0.9565217391304348,33.0
ask_next_step,1.0,0.7954545454545454,0.8860759493670886,88.0
ask_pos,0.0,0.0,0.0,3.0
ask_shape,1.0,1.0,1.0,1.0
ask_state,0.5,1.0,0.6666666666666666,1.0
deny,1.0,1.0,1.0,3.0
done_it,0.7166666666666667,1.0,0.8349514563106796,43.0
greet,0.9090909090909091,1.0,0.9523809523809523,10.0
rcpt_not_empty,0.0,0.0,0.0,2.0
accuracy,0.8878048780487805,0.8878048780487805,0.8878048780487805,0.8878048780487805
macro avg,0.7311294765840219,0.7995867768595041,0.7542360694414382,205.0
weighted avg,0.895890613451589,0.8878048780487805,0.8811379987680172,205.0
