,precision,recall,f1-score,support
affirm,0.967741935483871,1.0,0.9836065573770492,30.0
ask_colour,0.7105263157894737,1.0,0.8307692307692308,27.0
ask_general,0.8979591836734694,0.8148148148148148,0.8543689320388349,54.0
ask_next_step,0.9747474747474747,0.8654708520179372,0.9168646080760094,223.0
ask_numbers,0.0,0.0,0.0,0.0
ask_pos,0.75,0.21428571428571427,0.3333333333333333,14.0
ask_shape,0.8571428571428571,1.0,0.923076923076923,6.0
ask_state,0.75,1.0,0.8571428571428571,3.0
deny,0.5,0.8,0.6153846153846154,5.0
done_it,0.8402777777777778,0.952755905511811,0.8929889298892988,127.0
greet,0.96,0.9230769230769231,0.9411764705882353,26.0
nlu_fallback,0.1,0.125,0.11111111111111112,8.0
not_have_obj,1.0,0.3333333333333333,0.5,3.0
rcpt_not_empty,1.0,0.6666666666666666,0.8,3.0
wait,0.0,0.0,0.0,0.0
accuracy,0.8676748582230623,0.8676748582230623,0.8676748582230623,0.8676748582230623
macro avg,0.6872263696409948,0.6463602806471467,0.6373215712524999,529.0
weighted avg,0.8940322992410605,0.8676748582230623,0.8715656842282263,529.0
